發生年度,發生月,發生日,發生時-Hours,發生分,處理別-編號,區序,肇事地點,死亡人數,受傷人數,當事人序號,車種,性別,年齡,受傷程度,天候,速限-速度限制,道路型態,事故位置,座標-X,座標-Y
108,01,01,00,50,2,12內湖區,內湖區安康路414巷2號,0,2,1,B03,1,31,3,6,50,13,09,121.6146178,25.066187
108,01,01,00,50,2,12內湖區,內湖區安康路414巷2號,0,2,2,C03,2,19,2,6,50,13,09,121.6146178,25.066187
108,01,01,00,50,2,12內湖區,內湖區安康路414巷2號,0,2,3,H02,2,19,2,6,50,13,09,121.6146178,25.066187
108,01,01,01,30,2,09北投區,北投區大度路1段與中央北路2段257巷口,0,1,1,C03,1,20,2,7,50,4,01,121.4860639,25.12205852
108,01,01,01,30,2,09北投區,北投區大度路1段與中央北路2段257巷口,0,1,2,C03,2,53,3,7,50,4,01,121.4860639,25.12205852
108,01,01,01,47,2,03中山區,中山區民生東路2段157號,0,1,1,B03,2,42,3,6,50,14,09,121.5359299,25.05798856
108,01,01,01,47,2,03中山區,中山區民生東路2段157號,0,1,2,C03,1,37,2,6,50,14,09,121.5359299,25.05798856
108,01,01,01,54,1,09北投區,北投區竹子湖路086燈桿,1,0,1,C03,1,25,1,6,40,11,09,121.5605624,25.1824513
108,01,01,01,54,1,09北投區,北投區竹子湖路086燈桿,1,0,2,,3,0,,6,40,11,09,121.5605624,25.1824513
108,01,01,02,05,2,09北投區,北投區竹子湖路20.5K(057燈桿),0,2,1,C03,1,27,2,6,0,14,09,121.5393843,25.1716682
108,01,01,02,05,2,09北投區,北投區竹子湖路20.5K(057燈桿),0,2,3,H02,2,23,2,6,0,14,09,121.5393843,25.1716682
108,01,01,02,05,2,09北投區,北投區竹子湖路20.5K(057燈桿),0,2,2,,3,0,,6,0,14,09,121.5393843,25.1716682
108,01,01,02,20,2,03中山區,中山區民權東路3段與建國北路3段口,0,1,1,B03,1,59,3,8,50,14,09,121.5372695,25.06268422
108,01,01,02,20,2,03中山區,中山區民權東路3段與建國北路3段口,0,1,2,C03,1,30,2,8,50,14,09,121.5372695,25.06268422
108,01,01,02,37,2,04大安區,大安區和平東路1段與青田街口,0,2,1,B01,1,64,3,6,50,4,02,121.5319732,25.0263684
108,01,01,02,37,2,04大安區,大安區和平東路1段與青田街口,0,2,2,C03,1,18,2,6,50,4,02,121.5319732,25.0263684
108,01,01,02,37,2,04大安區,大安區和平東路1段與青田街口,0,2,3,C03,1,17,2,6,50,4,02,121.5319732,25.0263684
108,01,01,03,56,2,01大同區,大同區民權西路與重慶北路3段口,0,1,1,E01,1,32,3,6,50,4,01,121.5135035,25.0631314
