年份,月份,行政區,遷入人數,遷出人數,住址變更人數_入數量,住址變更人數_出數量,出生人數,死亡人數
111,1,  總計 ,9252,18985,5506,5506,1410,1645
111,1,  松山區 ,852,1710,379,379,100,119
111,1,  信義區 ,683,1953,322,322,120,141
111,1,  大安區 ,1210,2184,535,535,156,173
111,1,  中山區 ,928,1931,425,425,128,129
111,1,  中正區 ,800,1436,335,335,60,106
111,1,  大同區 ,515,1023,267,267,61,101
111,1,  萬華區 ,610,1207,420,420,96,155
111,1,  文山區 ,792,1691,628,628,127,163
111,1,  南港區 ,407,822,231,231,78,59
111,1,  內湖區 ,891,1765,696,696,162,148
111,1,  士林區 ,812,1855,581,581,163,194
111,1,  北投區 ,752,1408,687,687,159,157
111,2,  總計 ,7612,17093,4044,4044,1075,1422
111,2,  松山區 ,685,1700,325,325,80,95
111,2,  信義區 ,585,1390,228,228,73,134
111,2,  大安區 ,946,1656,355,355,110,170
111,2,  中山區 ,744,2090,348,348,99,113
111,2,  中正區 ,666,1259,255,255,63,94
111,2,  大同區 ,469,785,208,208,45,68
111,2,  萬華區 ,537,1054,323,323,79,150
111,2,  文山區 ,646,1490,469,469,111,140
111,2,  南港區 ,351,712,190,190,54,68
111,2,  內湖區 ,714,1752,467,467,137,104
111,2,  士林區 ,636,1606,455,455,115,156
111,2,  北投區 ,633,1599,421,421,109,130
111,3,  總計 ,11478,25125,6382,6382,1330,1835
111,3,  松山區 ,991,2482,462,462,98,127
111,3,  信義區 ,940,2178,452,452,102,155
111,3,  大安區 ,1433,2720,590,590,144,214
111,3,  中山區 ,1124,2368,584,584,142,156
111,3,  中正區 ,979,2044,310,310,74,98
111,3,  大同區 ,605,1244,396,396,54,112
111,3,  萬華區 ,746,1649,463,463,84,164
111,3,  文山區 ,1020,2461,740,740,143,192
111,3,  南港區 ,446,1151,239,239,66,85
111,3,  內湖區 ,1147,2602,769,769,172,145
111,3,  士林區 ,1035,2495,653,653,123,224
111,3,  北投區 ,1012,1731,724,724,128,163
111,4,  總計 ,9267,21367,4736,4736,1197,1418
111,4,  松山區 ,764,1769,393,393,89,119
111,4,  信義區 ,684,1624,289,289,83,97
111,4,  大安區 ,1285,1993,450,450,135,175
111,4,  中山區 ,974,2439,403,403,96,129
111,4,  中正區 ,738,1477,215,215,66,94
111,4,  大同區 ,460,1200,268,268,66,69
111,4,  萬華區 ,626,1612,291,291,89,148
111,4,  文山區 ,823,2152,558,558,128,135
111,4,  南港區 ,427,1059,170,170,51,63
111,4,  內湖區 ,863,2484,557,557,162,102
111,4,  士林區 ,815,2293,514,514,130,151
111,4,  北投區 ,808,1265,628,628,102,136
111,5,  總計 ,9682,16369,4941,4941,959,1797
111,5,  松山區 ,776,1581,443,443,79,131
111,5,  信義區 ,724,1395,268,268,74,122
111,5,  大安區 ,1234,2799,445,445,106,199
111,5,  中山區 ,954,1531,382,382,86,158
111,5,  中正區 ,743,1188,236,236,52,94
111,5,  大同區 ,501,559,230,230,41,97
111,5,  萬華區 ,645,768,334,334,67,201
111,5,  文山區 ,862,1394,533,533,84,183
111,5,  南港區 ,590,541,254,254,52,82
111,5,  內湖區 ,1000,1224,692,692,121,156
111,5,  士林區 ,841,1748,462,462,101,204
111,5,  北投區 ,812,1641,662,662,96,170
111,6,  總計 ,12138,17296,5384,5384,1160,2149
111,6,  松山區 ,1034,1056,439,439,75,157
111,6,  信義區 ,1044,1506,357,357,107,178
111,6,  大安區 ,1568,5015,492,492,128,230
111,6,  中山區 ,1240,1113,419,419,114,184
111,6,  中正區 ,932,842,310,310,71,122
111,6,  大同區 ,640,629,297,297,63,124
111,6,  萬華區 ,790,847,424,424,62,238
111,6,  文山區 ,1122,1102,659,659,116,185
111,6,  南港區 ,599,581,207,207,57,90
111,6,  內湖區 ,1202,1261,648,648,143,188
111,6,  士林區 ,1034,1426,466,466,120,242
111,6,  北投區 ,933,1918,666,666,104,211
111,7,  總計 ,14497,15939,5841,5841,1166,1694
111,7,  松山區 ,1184,1151,405,405,91,149
111,7,  信義區 ,1229,1324,323,323,98,155
111,7,  大安區 ,2154,3754,605,605,136,177
111,7,  中山區 ,1509,1327,422,422,106,143
111,7,  中正區 ,1090,1178,302,302,54,99
111,7,  大同區 ,706,786,354,354,58,95
111,7,  萬華區 ,955,905,403,403,89,162
111,7,  文山區 ,1222,1160,701,701,103,139
111,7,  南港區 ,643,621,217,217,51,68
111,7,  內湖區 ,1292,1290,721,721,148,145
111,7,  士林區 ,1370,1290,562,562,131,192
111,7,  北投區 ,1143,1153,826,826,101,170
111,8,  總計 ,13692,13956,6604,6604,1261,1784
111,8,  松山區 ,1164,1211,484,484,89,125
111,8,  信義區 ,1212,1072,449,449,96,143
111,8,  大安區 ,1918,1845,652,652,126,175
111,8,  中山區 ,1380,1260,507,507,98,171
111,8,  中正區 ,1062,1188,372,372,67,116
111,8,  大同區 ,667,748,357,357,58,114
111,8,  萬華區 ,941,917,480,480,93,181
111,8,  文山區 ,1143,1297,726,726,111,183
111,8,  南港區 ,606,675,231,231,72,80
111,8,  內湖區 ,1287,1387,812,812,176,149
111,8,  士林區 ,1260,1257,679,679,146,196
111,8,  北投區 ,1052,1099,855,855,129,151
111,9,  總計 ,14802,15106,7550,7550,1254,1713
111,9,  松山區 ,1182,1447,654,654,86,126
111,9,  信義區 ,1376,1172,554,554,105,145
111,9,  大安區 ,1977,2278,699,699,119,206
111,9,  中山區 ,1537,1360,591,591,91,159
111,9,  中正區 ,1197,1271,397,397,76,100
111,9,  大同區 ,783,699,406,406,55,101
111,9,  萬華區 ,987,997,447,447,89,155
111,9,  文山區 ,1290,1219,836,836,133,169
111,9,  南港區 ,733,675,253,253,60,83
111,9,  內湖區 ,1408,1440,940,940,163,127
111,9,  士林區 ,1256,1401,780,780,146,179
111,9,  北投區 ,1076,1147,993,993,131,163
111,10,  總計 ,13179,8037,4264,4264,1252,1716
111,10,  松山區 ,1214,733,369,369,75,115
111,10,  信義區 ,1125,673,285,285,121,156
111,10,  大安區 ,2156,1037,435,435,138,178
111,10,  中山區 ,1461,806,290,290,110,145
111,10,  中正區 ,992,598,200,200,54,106
111,10,  大同區 ,701,357,214,214,50,105
111,10,  萬華區 ,777,586,291,291,83,147
111,10,  文山區 ,1047,655,477,477,120,191
111,10,  南港區 ,489,458,138,138,66,93
111,10,  內湖區 ,1088,762,600,600,148,151
111,10,  士林區 ,1203,635,388,388,147,162
111,10,  北投區 ,926,737,577,577,140,167
111,11,  總計 ,16953,9363,4711,4711,1190,1843
111,11,  松山區 ,1720,850,336,336,80,144
111,11,  信義區 ,1411,743,357,357,106,161
111,11,  大安區 ,2910,1217,448,448,133,203
111,11,  中山區 ,1793,928,345,345,112,162
111,11,  中正區 ,1311,727,242,242,69,108
111,11,  大同區 ,726,475,252,252,62,113
111,11,  萬華區 ,926,648,326,326,82,175
111,11,  文山區 ,1379,804,526,526,121,166
111,11,  南港區 ,626,494,179,179,56,80
111,11,  內湖區 ,1417,938,595,595,137,163
111,11,  士林區 ,1573,834,508,508,123,203
111,11,  北投區 ,1161,705,597,597,109,165
111,12,  總計 ,21328,12701,7243,7243,1274,1767
111,12,  松山區 ,2153,979,431,431,92,126
111,12,  信義區 ,1875,1021,1706,1706,96,151
111,12,  大安區 ,3501,1940,607,607,153,191
111,12,  中山區 ,2224,1089,494,494,102,159
111,12,  中正區 ,1627,1008,325,325,74,105
111,12,  大同區 ,984,649,340,340,64,120
111,12,  萬華區 ,1018,909,377,377,79,152
111,12,  文山區 ,1708,1051,661,661,125,172
111,12,  南港區 ,766,669,177,177,63,82
111,12,  內湖區 ,1981,1224,811,811,142,138
111,12,  士林區 ,1862,1115,582,582,153,203
111,12,  北投區 ,1629,1047,732,732,131,168
112,1,  總計 ,16737,8716,3956,3956,1123,1782
112,1,  松山區 ,1532,646,302,302,75,128
112,1,  信義區 ,1411,703,268,268,81,155
112,1,  大安區 ,2465,1018,408,408,130,201
112,1,  中山區 ,1609,861,318,318,96,120
112,1,  中正區 ,1178,719,214,214,59,116
112,1,  大同區 ,815,476,202,202,43,92
112,1,  萬華區 ,893,609,254,254,76,191
112,1,  文山區 ,1509,775,412,412,121,134
112,1,  南港區 ,635,476,111,111,53,90
112,1,  內湖區 ,1657,814,552,552,140,163
112,1,  士林區 ,1642,806,439,439,114,204
112,1,  北投區 ,1391,813,476,476,135,188
112,2,  總計 ,14091,11076,4997,4997,1017,1942
112,2,  松山區 ,1252,870,366,366,72,135
112,2,  信義區 ,1099,871,278,278,94,183
112,2,  大安區 ,2085,1262,441,441,105,236
112,2,  中山區 ,1403,1177,465,465,80,155
112,2,  中正區 ,1079,839,257,257,61,113
112,2,  大同區 ,727,594,290,290,45,96
112,2,  萬華區 ,877,793,373,373,75,175
112,2,  文山區 ,1257,1024,586,586,101,194
112,2,  南港區 ,542,638,219,219,47,76
112,2,  內湖區 ,1396,1070,627,627,128,163
112,2,  士林區 ,1237,993,507,507,108,218
112,2,  北投區 ,1137,945,588,588,101,198
112,3,  總計 ,18058,12602,5887,5887,1275,2051
112,3,  松山區 ,1625,1059,448,448,97,155
112,3,  信義區 ,1570,1046,394,394,97,191
112,3,  大安區 ,2701,1488,513,513,129,261
112,3,  中山區 ,1788,1212,538,538,108,188
112,3,  中正區 ,1430,973,291,291,92,108
